Patient	/home/jmandel/hobby/r6breaks/output/Patient.report.json	4	0	4	1
PaymentNotice	/home/jmandel/hobby/r6breaks/output/PaymentNotice.report.json	4	0	4	1
RelatedPerson	/home/jmandel/hobby/r6breaks/output/RelatedPerson.report.json	4	0	4	1
ResearchSubject	/home/jmandel/hobby/r6breaks/output/ResearchSubject.report.json	5	0	4	1
RiskAssessment	/home/jmandel/hobby/r6breaks/output/RiskAssessment.report.json	4	0	4	1
RiskEvidenceSynthesis	/home/jmandel/hobby/r6breaks/output/RiskEvidenceSynthesis.report.json	5	0	4	1
SampledData	/home/jmandel/hobby/r6breaks/output/SampledData.report.json	5	0	4	1
AppointmentResponse	/home/jmandel/hobby/r6breaks/output/AppointmentResponse.report.json	6	0	3	1
Basic	/home/jmandel/hobby/r6breaks/output/Basic.report.json	3	0	3	1
ChargeItem	/home/jmandel/hobby/r6breaks/output/ChargeItem.report.json	3	0	3	1
Contributor	/home/jmandel/hobby/r6breaks/output/Contributor.report.json	3	0	3	1
CoverageEligibilityRequest	/home/jmandel/hobby/r6breaks/output/CoverageEligibilityRequest.report.json	3	0	3	1
DataRequirement	/home/jmandel/hobby/r6breaks/output/DataRequirement.report.json	3	0	3	1
DeviceUseStatement	/home/jmandel/hobby/r6breaks/output/DeviceUseStatement.report.json	3	0	3	1
Element	/home/jmandel/hobby/r6breaks/output/Element.report.json	3	0	3	1
Expression	/home/jmandel/hobby/r6breaks/output/Expression.report.json	3	0	3	1
Extension	/home/jmandel/hobby/r6breaks/output/Extension.report.json	3	0	3	1
Identifier	/home/jmandel/hobby/r6breaks/output/Identifier.report.json	3	0	3	1
MarketingStatus	/home/jmandel/hobby/r6breaks/output/MarketingStatus.report.json	3	0	3	1
Meta	/home/jmandel/hobby/r6breaks/output/Meta.report.json	3	0	3	1
OperationOutcome	/home/jmandel/hobby/r6breaks/output/OperationOutcome.report.json	3	0	3	1
PractitionerRole	/home/jmandel/hobby/r6breaks/output/PractitionerRole.report.json	4	0	3	1
ProdCharacteristic	/home/jmandel/hobby/r6breaks/output/ProdCharacteristic.report.json	3	0	3	1
Reference	/home/jmandel/hobby/r6breaks/output/Reference.report.json	3	0	3	1
RelatedArtifact	/home/jmandel/hobby/r6breaks/output/RelatedArtifact.report.json	4	0	3	1
Resource	/home/jmandel/hobby/r6breaks/output/Resource.report.json	3	0	3	1
SubstancePolymer	/home/jmandel/hobby/r6breaks/output/SubstancePolymer.report.json	3	0	3	1
SubstanceSourceMaterial	/home/jmandel/hobby/r6breaks/output/SubstanceSourceMaterial.report.json	3	0	3	1
Timing	/home/jmandel/hobby/r6breaks/output/Timing.report.json	4	0	3	1
Address	/home/jmandel/hobby/r6breaks/output/Address.report.json	3	0	2	1
Coding	/home/jmandel/hobby/r6breaks/output/Coding.report.json	2	0	2	1
Count	/home/jmandel/hobby/r6breaks/output/Count.report.json	2	0	2	1
dateTime	/home/jmandel/hobby/r6breaks/output/dateTime.report.json	2	0	2	1
EnrollmentResponse	/home/jmandel/hobby/r6breaks/output/EnrollmentResponse.report.json	2	0	2	1
markdown	/home/jmandel/hobby/r6breaks/output/markdown.report.json	2	0	2	1
Population	/home/jmandel/hobby/r6breaks/output/Population.report.json	2	0	2	1
positiveInt	/home/jmandel/hobby/r6breaks/output/positiveInt.report.json	2	0	2	1
Quantity	/home/jmandel/hobby/r6breaks/output/Quantity.report.json	2	0	2	1
Slot	/home/jmandel/hobby/r6breaks/output/Slot.report.json	2	0	2	1
SubstanceProtein	/home/jmandel/hobby/r6breaks/output/SubstanceProtein.report.json	2	0	2	1
unsignedInt	/home/jmandel/hobby/r6breaks/output/unsignedInt.report.json	2	0	2	1
UsageContext	/home/jmandel/hobby/r6breaks/output/UsageContext.report.json	2	0	2	1
VisionPrescription	/home/jmandel/hobby/r6breaks/output/VisionPrescription.report.json	2	0	2	1
Age	/home/jmandel/hobby/r6breaks/output/Age.report.json	1	0	1	1
Annotation	/home/jmandel/hobby/r6breaks/output/Annotation.report.json	1	0	1	1
BackboneElement	/home/jmandel/hobby/r6breaks/output/BackboneElement.report.json	1	0	1	1
base64Binary	/home/jmandel/hobby/r6breaks/output/base64Binary.report.json	1	0	1	1
Binary	/home/jmandel/hobby/r6breaks/output/Binary.report.json	1	0	1	1
canonical	/home/jmandel/hobby/r6breaks/output/canonical.report.json	1	0	1	1
code	/home/jmandel/hobby/r6breaks/output/code.report.json	1	0	1	1
ContactPoint	/home/jmandel/hobby/r6breaks/output/ContactPoint.report.json	1	0	1	1
Distance	/home/jmandel/hobby/r6breaks/output/Distance.report.json	1	0	1	1
Duration	/home/jmandel/hobby/r6breaks/output/Duration.report.json	1	0	1	1
EnrollmentRequest	/home/jmandel/hobby/r6breaks/output/EnrollmentRequest.report.json	1	0	1	1
HumanName	/home/jmandel/hobby/r6breaks/output/HumanName.report.json	1	0	1	1
instant	/home/jmandel/hobby/r6breaks/output/instant.report.json	1	0	1	1
integer	/home/jmandel/hobby/r6breaks/output/integer.report.json	1	0	1	1
